"","auth.id","start_year","group","focal","anr_year"
"582","10040195000",2008,"126",0,2012
"583","35309684800",2009,"1260",1,2013
"584","7005955587",2010,"1260",0,2014
"585","35311621300",2009,"1261",1,2013
"586","6603737817",2005,"1261",0,2009
"587","35313326800",2007,"1262",1,2011
"588","24328865000",2011,"1262",0,2015
"589","35313953600",2012,"1263",1,2016
"590","6506746084",2006,"1263",0,2010
"591","35315024600",2006,"1264",1,2010
"592","6603491058",2005,"1264",0,2009
"593","35316029900",2009,"1265",1,2013
"594","35492733800",2008,"1265",0,2012
"595","35316827300",2011,"1266",1,2015
"596","56208817600",2010,"1266",0,2014
"597","35317080300",2007,"1267",1,2011
"598","7003276286",2011,"1267",0,2015
"599","35320474200",2012,"1268",1,2016
"600","7102621928",2011,"1268",0,2015
"601","35321469900",2008,"1269",1,2012
"602","10040882600",2005,"1269",0,2009
"603","12806965200",2008,"127",1,2012
"604","57202311057",2008,"127",0,2012
"605","35321575000",2011,"1270",1,2015
"606","6603174040",2006,"1270",0,2010
"607","35324177000",2006,"1271",1,2010
"608","14046543300",2003,"1271",0,2007
"609","35329408000",2006,"1272",1,2010
"610","7003540416",2006,"1272",0,2010
"611","35329441800",2008,"1273",1,2012
"612","10241248300",2005,"1273",0,2009
"613","35361148300",2011,"1274",1,2015
"614","15062250500",2011,"1274",0,2015
"615","35363418800",2012,"1275",1,2016
"616","6603389461",2008,"1275",0,2012
"617","35376308000",2011,"1276",1,2015
"618","56259700100",2010,"1276",0,2014
"619","35377655200",2011,"1277",1,2015
"620","6506074368",2006,"1277",0,2010
"621","35379243200",2008,"1278",1,2012
"622","7004943607",2009,"1278",0,2013
"623","35380287000",2007,"1279",1,2011
"624","55574503700",2009,"1279",0,2013
"625","12807614200",2007,"128",1,2011
"626","10241820100",2006,"128",0,2010
"627","35386125600",2007,"1280",1,2011
"628","56264174000",2011,"1280",0,2015
"629","35407558100",2009,"1281",1,2013
"630","6701639442",2005,"1281",0,2009
"631","35407565900",2009,"1282",1,2013
"632","35303516100",2005,"1282",0,2009
"633","35410037800",2008,"1283",1,2012
"634","7004405101",2003,"1283",0,2007
"635","35416421800",2008,"1284",1,2012
"636","7005353464",2010,"1284",0,2014
"637","35431273000",2008,"1285",1,2012
"638","6602772570",2003,"1285",0,2007
"639","35432442400",2009,"1286",1,2013
"640","7004167402",2007,"1286",0,2011
"641","35432935300",2006,"1287",1,2010
"642","56277788800",2011,"1287",0,2015
"643","35451501400",2010,"1288",1,2014
"644","7403519127",2003,"1288",0,2007
"645","35459892700",2009,"1289",1,2013
"646","7004493113",2003,"1289",0,2007
"647","12808681300",2006,"129",1,2010
"648","55887276800",2002,"129",0,2006
"649","35476861300",2012,"1290",1,2016
"650","8898983400",2009,"1290",0,2013
"651","35481625500",2007,"1291",1,2011
"652","6507176089",2003,"1291",0,2007
"653","35484258100",2011,"1292",1,2015
"654","55404455200",2005,"1292",0,2009
"655","35485958200",2009,"1293",1,2013
"656","7004613558",2004,"1293",0,2008
"657","35486794500",2009,"1294",1,2013
"658","6506762831",2011,"1294",0,2015
"659","35487359200",2012,"1295",1,2016
"660","7006112144",2008,"1295",0,2012
"661","35488349500",2010,"1296",1,2014
"662","6507403835",2009,"1296",0,2013
"663","35493597200",2007,"1297",1,2011
"664","6701325897",2009,"1297",0,2013
"665","35503024500",2012,"1298",1,2016
"666","11138853500",2008,"1298",0,2012
"667","35508987200",2009,"1299",1,2013
"668","56243027700",2007,"1299",0,2011
"669","10239292700",2006,"13",1,2010
"670","6601982390",2011,"13",0,2015
"671","12808763400",2010,"130",1,2014
"672","7004311413",2008,"130",0,2012
"673","35510247100",2007,"1300",1,2011
"674","7006255547",2004,"1300",0,2008
"675","35512027400",2008,"1301",1,2012
"676","7401472342",2010,"1301",0,2014
"677","35514621600",2008,"1302",1,2012
"678","6507585915",2010,"1302",0,2014
"679","35516516600",2006,"1303",1,2010
"680","15061865800",2008,"1303",0,2012
"681","35516550900",2009,"1304",1,2013
"682","7103005333",2011,"1304",0,2015
"683","35516732100",2009,"1305",1,2013
"684","14036983700",2011,"1305",0,2015
"685","35517740000",2008,"1306",1,2012
"686","7801539484",2008,"1306",0,2012
"687","35547062600",2006,"1307",1,2010
"688","7004805320",2011,"1307",0,2015
"689","35547194700",2007,"1308",1,2011
"690","7004914345",2001,"1308",0,2005
"691","35547756400",2006,"1309",1,2010
"692","7006604602",2004,"1309",0,2008
"693","12809671300",2010,"131",1,2014
"694","55697892500",2005,"131",0,2009
"695","35548439700",2006,"1310",1,2010
"696","6603745443",2008,"1310",0,2012
"697","35551238800",2006,"1311",1,2010
